ts,lag,api_total,api_success,api_429,api_429_ratio,duplicates
1782024037,0,0,0,0,0.0000,0
1782024039,0,19,19,0,0.0000,0
1782024041,9800,231,202,29,0.1255,0
1782024043,9600,466,409,57,0.1223,0
1782024045,9400,688,602,86,0.1250,0
1782024047,9200,944,829,115,0.1218,0
1782024050,9000,1163,1020,143,0.1230,0
1782024052,8800,1396,1225,171,0.1225,0
1782024054,8600,1640,1441,199,0.1213,0
1782024056,8400,1876,1649,227,0.1210,0
1782024058,8200,2076,1821,255,0.1228,0
1782024060,8000,2315,2032,283,0.1222,0
1782024062,7800,2516,2204,312,0.1240,0
1782024064,7600,2802,2462,340,0.1213,0
1782024066,7400,3014,2645,369,0.1224,0
1782024068,7200,3253,2856,397,0.1220,0
1782024070,7000,3491,3066,425,0.1217,0
1782024072,6800,3700,3246,454,0.1227,0
1782024075,6600,3923,3441,482,0.1229,0
1782024077,6400,4130,3620,510,0.1235,0
1782024079,6200,4373,3836,537,0.1228,0
1782024081,6000,4589,4024,565,0.1231,0
1782024083,5800,4831,4238,593,0.1227,0
1782024085,5600,5068,4447,621,0.1225,0
1782024087,5400,5291,4642,649,0.1227,0
1782024089,5200,5507,4829,678,0.1231,0
1782024091,5000,5758,5052,706,0.1226,0
1782024093,4800,5980,5246,734,0.1227,0
1782024095,4600,6173,5410,763,0.1236,0
1782024097,4400,6401,5610,791,0.1236,0
1782024099,4200,6657,5837,820,0.1232,0
1782024101,4000,6885,6037,848,0.1232,0
1782024103,3800,7102,6227,875,0.1232,0
1782024106,3600,7354,6451,903,0.1228,0
1782024108,3350,7581,6650,931,0.1228,0
1782024110,3150,7848,6888,960,0.1223,0
1782024112,2950,8069,7082,987,0.1223,0
1782024114,2750,8280,7265,1015,0.1226,0
1782024116,2550,8508,7465,1043,0.1226,0
1782024118,2350,8743,7672,1071,0.1225,0
1782024120,2150,8950,7850,1100,0.1229,0
1782024122,1950,9179,8052,1127,0.1228,0
1782024124,1750,9381,8226,1155,0.1231,0
1782024126,1550,9598,8414,1184,0.1234,0
1782024128,1350,9829,8617,1212,0.1233,0
1782024130,1150,10079,8840,1239,0.1229,0
1782024132,1000,10291,9025,1266,0.1230,0
1782024134,800,10508,9214,1294,0.1231,0
1782024136,600,10744,9422,1322,0.1230,0
1782024139,400,10994,9645,1349,0.1227,0
1782024141,200,11222,9845,1377,0.1227,0
1782024143,0,11392,10000,1392,0.1222,0
1782024145,0,11392,10000,1392,0.1222,0
1782024147,0,11392,10000,1392,0.1222,0
1782024149,0,11392,10000,1392,0.1222,0
1782024151,0,11392,10000,1392,0.1222,0
1782024153,0,11392,10000,1392,0.1222,0
1782024155,0,11392,10000,1392,0.1222,0
